Ticker,CCASS ID,Date,Shareholding,% of Total Issued Shares/Warrants/Units,DoD Change
412,B01298,2020/08/24,33714364,0.13995527402608324,-0.014695269649824483
412,B01771,2020/08/24,32196092,0.13365261401428147,-0.0016189703851501869
412,B01715,2020/08/24,29502048,0.122469082085329,0.0017435065686232515
412,B02026,2020/08/24,28584000,0.11865807561315893,0.0
412,B01654,2020/08/24,25926000,0.10762416975744328,0.012179638743668078
412,C00039,2020/08/24,24429756,0.10141295251395968,0.0
412,B01937,2020/08/24,22310960,0.09261739360069143,0.0
412,B01829,2020/08/24,19944000,0.08279165477290938,0.0
412,C00028,2020/08/24,16130424,0.06696071475875713,0.0
412,B01929,2020/08/24,16084456,0.06676989211602742,0.0
412,B01353,2020/08/24,15374548,0.06382291768479365,-0.001245361834730882
412,B01694,2020/08/24,12306408,0.05108643615275623,0.0017435065686232515
412,B01491,2020/08/24,10682000,0.04434318372865112,0.0
412,B01184,2020/08/24,9949024,0.04130044927473877,0.0
412,B02052,2020/08/24,8268000,0.03432217216518325,0.0022416513025156
412,B01161,2020/08/24,8101624,0.03363151109646596,0.0
412,B01905,2020/08/24,7396684,0.03070515985721532,0.0
412,A00003,2020/08/24,7380000,0.030635901134379823,0.0
412,B02107,2020/08/24,7380000,0.030635901134379823,0.0
412,B01410,2020/08/24,6784124,0.028162297038939486,0.0
412,B01284,2020/08/24,6615704,0.02746315090492157,0.0
412,B01119,2020/08/24,6471648,0.026865144756708245,0.0
412,C00074,2020/08/24,5352448,0.02221911487193889,0.0
412,B01089,2020/08/24,4964552,0.020608878624456317,0.0
412,B01885,2020/08/24,4914000,0.02039902685289193,-0.003985157871138838
412,B01115,2020/08/24,4855680,0.020156928512220246,0.0
412,B01753,2020/08/24,4740000,0.019676716988748014,0.0
412,C00093,2020/08/24,4409741,0.018305743808160056,-0.0009215677577008585
412,B01551,2020/08/24,4208488,0.017470301123743072,0.0
412,B01610,2020/08/24,4096504,0.017005432458074732,0.0037360855041926634
412,B01825,2020/08/24,3925752,0.01629660571139483,0.0
412,B01565,2020/08/24,3820056,0.015857839829782446,0.0
412,C00042,2020/08/24,3612576,0.014996547584882563,0.0
412,B01514,2020/08/24,3596792,0.014931024947551259,0.0
412,B01907,2020/08/24,3204000,0.013300464394925876,0.0012453618347308855
412,B01668,2020/08/24,3127588,0.012983262433207687,0.0009464749943954749
412,B01727,2020/08/24,3097468,0.012858228105000705,0.0
412,B01228,2020/08/24,3019068,0.012532773545524366,0.0
412,C00100,2020/08/24,3012000,0.012503432820698109,-0.0018182282787070955
412,B01673,2020/08/24,2965840,0.01231181314639418,-0.001245361834730889
412,B02128,2020/08/24,2850000,0.011830937429943428,0.005105983522396637
412,B01345,2020/08/24,2793548,0.011596593542296002,0.0
412,B01413,2020/08/24,2789912,0.011581499756859062,-0.0017435065686232428
412,B01224,2020/08/24,2743312,0.0113880535518642,0.0
412,B01904,2020/08/24,2730240,0.011333788985518858,0.0019925789355694206
412,B01451,2020/08/24,2568246,0.010661318502000873,-0.0032628480069949277
412,A00004,2020/08/24,2556000,0.010610482831907159,0.0
412,B01590,2020/08/24,1921040,0.007974632996638078,9.96289467784725e-05
412,B02114,2020/08/24,1806000,0.007497078245079941,0.0
412,C00015,2020/08/24,1623308,0.006738686097377757,0.0
412,B01584,2020/08/24,1606912,0.0066706229219036,0.0
412,B01183,2020/08/24,1417772,0.005885463797166931,0.0
412,B01842,2020/08/24,1300324,0.0053979129412820214,0.0
412,B01831,2020/08/24,1284060,0.005330397725015143,0.0
412,B01118,2020/08/24,1215156,0.005044363018814153,0.0
412,B01320,2020/08/24,1207312,0.0050118009580420566,0.0
412,B02164,2020/08/24,1200000,0.004981447338923549,0.0
412,B01788,2020/08/24,1051092,0.004363299538636525,0.0
412,C00036,2020/08/24,1014432,0.004211116322432411,0.0
412,B01666,2020/08/24,936048,0.003885728182253925,0.0037111782674980436
412,B02075,2020/08/24,900004,0.003736102109017125,0.0
412,B01329,2020/08/24,900000,0.003736085504192661,0.0
412,B01959,2020/08/24,882096,0.0036617623098959217,0.0
412,B01901,2020/08/24,840000,0.0034870131372464843,0.0
412,B01192,2020/08/24,830028,0.0034456173098600298,0.0
412,B01890,2020/08/24,750000,0.0031134045868272176,0.0
412,B02102,2020/08/24,738000,0.0030635901134379822,-0.003487013137246485
412,B02008,2020/08/24,726000,0.0030137756400487477,0.0
412,C00037,2020/08/24,721432,0.0029948129305119114,0.0
412,B01351,2020/08/24,638292,0.002649681654046825,0.0024658164327671568
412,B01743,2020/08/24,633120,0.002628211616016064,0.0012453618347308868
412,B01274,2020/08/24,567516,0.0023558758899971137,0.0007472171008385323
412,B01659,2020/08/24,552340,0.002292877185984194,0.0
412,C00002,2020/08/24,507492,0.0021067038941041576,0.0
412,B01695,2020/08/24,506616,0.002103067437546744,0.0
412,B01460,2020/08/24,487128,0.0020221687327626253,0.00034870131372464835
