% of Total Issued Shares/Warrants/Units,CCASS ID,Date,DoD Change,Shareholding,Ticker
0.02,B01727,2020/07/20,0.0,"2,063,418",700
0.02,B01338,2020/07/20,0.0,"1,917,505",700
0.01,B01686,2020/07/20,-0.01,"1,880,190",700
0.01,B01938,2020/07/20,0.0,"1,819,558",700
0.01,C00002,2020/07/20,0.0,"1,783,896",700
0.01,C00058,2020/07/20,0.0,"1,783,547",700
0.01,B01118,2020/07/20,0.0,"1,658,189",700
0.01,B01826,2020/07/20,0.0,"1,615,759",700
0.01,B01762,2020/07/20,0.0,"1,605,032",700
0.01,B01695,2020/07/20,0.0,"1,527,810",700
0.01,B01610,2020/07/20,0.0,"1,452,150",700
0.01,B01825,2020/07/20,0.0,"1,414,000",700
0.01,B01668,2020/07/20,0.0,"1,402,313",700
0.01,B01228,2020/07/20,0.0,"1,278,010",700
0.01,B01256,2020/07/20,0.0,"1,235,300",700
0.01,B01773,2020/07/20,0.0,"1,175,600",700
0.01,B01272,2020/07/20,0.0,"1,163,120",700
0.01,B01905,2020/07/20,0.0,"1,119,800",700
0.01,B02132,2020/07/20,0.0,"1,119,244",700
0.01,B01947,2020/07/20,0.0,"1,065,284",700
0.0,B01133,2020/07/20,0.0,"944,214",700
0.0,B01849,2020/07/20,0.0,"930,500",700
0.0,B01890,2020/07/20,0.0,"788,900",700
0.0,B01858,2020/07/20,0.0,"785,341",700
0.0,B01284,2020/07/20,0.0,"777,146",700
0.0,B01584,2020/07/20,0.0,"776,528",700
0.0,B01929,2020/07/20,0.0,"639,078",700
0.0,B01264,2020/07/20,0.0,"613,082",700
0.0,C00048,2020/07/20,0.0,"591,611",700
0.0,B01389,2020/07/20,0.0,"562,500",700
0.0,B01445,2020/07/20,0.0,"523,600",700
0.0,B01347,2020/07/20,0.0,"513,308",700
0.0,B01948,2020/07/20,0.0,"478,400",700
0.0,B01323,2020/07/20,0.0,"467,235",700
0.0,B01217,2020/07/20,0.0,"462,800",700
0.0,B01138,2020/07/20,0.0,"460,444",700
0.0,B01497,2020/07/20,0.0,"444,155",700
0.0,B01183,2020/07/20,0.0,"376,298",700
0.0,B01829,2020/07/20,0.0,"371,850",700
0.0,B01962,2020/07/20,0.0,"334,860",700
0.0,B01939,2020/07/20,0.0,"331,900",700
0.0,B01904,2020/07/20,0.0,"327,826",700
0.0,B01121,2020/07/20,0.0,"317,702",700
0.0,B01824,2020/07/20,0.0,"307,900",700
0.0,B01818,2020/07/20,0.0,"302,500",700
0.0,B01556,2020/07/20,0.0,"286,700",700
0.0,B01184,2020/07/20,0.0,"281,300",700
0.0,B01649,2020/07/20,0.0,"279,580",700
0.0,B01973,2020/07/20,0.0,"273,400",700
0.0,C00102,2020/07/20,0.0,"272,146",700
0.0,B01230,2020/07/20,0.0,"232,200",700
0.0,B01119,2020/07/20,0.0,"230,600",700
0.0,B01894,2020/07/20,0.0,"228,025",700
0.0,B01423,2020/07/20,0.0,"222,654",700
0.0,B01813,2020/07/20,0.0,"195,166",700
0.0,B01209,2020/07/20,0.0,"194,486",700
0.0,B01666,2020/07/20,0.0,"189,900",700
0.0,B01885,2020/07/20,0.0,"186,675",700
0.0,B01900,2020/07/20,0.0,"184,450",700
0.0,B01623,2020/07/20,0.0,"178,700",700
0.0,B01555,2020/07/20,0.0,"154,725",700
0.0,B01459,2020/07/20,0.0,"152,308",700
0.0,B01959,2020/07/20,0.0,"150,400",700
0.0,B01673,2020/07/20,0.0,"141,188",700
0.0,B01875,2020/07/20,0.0,"136,100",700
0.0,B01289,2020/07/20,0.0,"134,800",700
0.0,B02176,2020/07/20,0.0,"132,776",700
0.0,B01123,2020/07/20,0.0,"122,620",700
0.0,B01275,2020/07/20,0.0,"117,700",700
0.0,B01699,2020/07/20,0.0,"97,400",700
0.0,B01137,2020/07/20,0.0,"92,597",700
0.0,B01567,2020/07/20,0.0,"90,955",700
0.0,B01169,2020/07/20,0.0,"90,000",700
0.0,B01978,2020/07/20,0.0,"89,100",700
0.0,B01265,2020/07/20,0.0,"85,214",700
0.0,B01129,2020/07/20,0.0,"82,500",700
0.0,B01915,2020/07/20,0.0,"74,900",700
0.0,B01551,2020/07/20,0.0,"72,520",700
0.0,B01710,2020/07/20,0.0,"71,300",700
0.0,B01696,2020/07/20,0.0,"70,100",700
0.0,B02022,2020/07/20,0.0,"68,800",700
0.0,B01906,2020/07/20,0.0,"59,600",700
0.0,B01848,2020/07/20,0.0,"53,300",700
0.0,B01470,2020/07/20,0.0,"52,000",700
0.0,B01240,2020/07/20,0.0,"50,999",700
0.0,B01198,2020/07/20,0.0,"47,520",700
0.0,B01458,2020/07/20,0.0,"46,500",700
0.0,B01373,2020/07/20,0.0,"40,100",700
0.0,B01843,2020/07/20,0.0,"39,955",700
0.0,B02141,2020/07/20,0.0,"39,200",700
0.0,B01941,2020/07/20,0.0,"38,800",700
0.0,B01940,2020/07/20,0.0,"36,800",700
0.0,B01749,2020/07/20,0.0,"36,700",700
0.0,B01958,2020/07/20,0.0,"31,700",700
0.0,B01852,2020/07/20,0.0,"30,500",700
0.0,B01416,2020/07/20,0.0,"26,970",700
0.0,B01967,2020/07/20,0.0,"25,672",700
0.0,B01356,2020/07/20,0.0,"24,900",700
0.0,B01732,2020/07/20,0.0,"24,100",700
0.0,B01592,2020/07/20,0.0,"18,600",700
0.0,B02159,2020/07/20,0.0,"16,592",700
0.0,B01450,2020/07/20,0.0,"11,900",700
0.0,B01213,2020/07/20,0.0,"8,700",700
